# Temperature (K)	Pressure (MPa)	Experimental(m/s)	NIST(m/s)	Model(m/s)
1.908499999999999943e+02	4.589999999999999858e+00	2.485999999999999943e+02	2.492189999999999941e+02	5.100734113173061814e+02
1.908499999999999943e+02	4.620000000000000107e+00	2.397899999999999920e+02	2.410289999999999964e+02	5.102434975051619404e+02
1.908499999999999943e+02	4.629999999999999893e+00	2.288700000000000045e+02	2.346479999999999961e+02	5.103001929011143147e+02
1.908499999999999943e+02	4.639999999999999680e+00	2.157700000000000102e+02	2.133870000000000005e+02	5.103568882970662344e+02
1.908499999999999943e+02	4.639999999999999680e+00	2.050600000000000023e+02	2.133870000000000005e+02	5.103568882970662344e+02
1.908499999999999943e+02	4.639999999999999680e+00	2.044399999999999977e+02	2.133870000000000005e+02	5.103568882970662344e+02
1.908499999999999943e+02	4.639999999999999680e+00	2.050900000000000034e+02	2.133870000000000005e+02	5.103568882970662344e+02
1.908499999999999943e+02	4.650000000000000355e+00	2.128799999999999955e+02	2.324900000000000091e+02	5.104135836930181540e+02
1.908499999999999943e+02	4.650000000000000355e+00	2.258700000000000045e+02	2.324900000000000091e+02	5.104135836930181540e+02
1.906299999999999955e+02	4.559999999999999609e+00	2.473499999999999943e+02	2.496289999999999907e+02	5.123625416632298766e+02
1.906299999999999955e+02	4.610000000000000320e+00	2.040900000000000034e+02	2.134199999999999875e+02	5.126460186429899295e+02
1.906299999999999955e+02	4.610000000000000320e+00	1.912599999999999909e+02	2.134199999999999875e+02	5.126460186429899295e+02
1.906299999999999955e+02	4.610000000000000320e+00	1.951599999999999966e+02	2.134199999999999875e+02	5.126460186429899295e+02
1.906299999999999955e+02	4.610000000000000320e+00	1.955399999999999920e+02	2.134199999999999875e+02	5.126460186429899295e+02
1.906299999999999955e+02	4.610000000000000320e+00	2.058700000000000045e+02	2.134199999999999875e+02	5.126460186429899295e+02
1.906299999999999955e+02	4.610000000000000320e+00	2.190500000000000114e+02	2.134199999999999875e+02	5.126460186429899295e+02
1.905600000000000023e+02	4.559999999999999609e+00	2.469300000000000068e+02	2.479869999999999948e+02	5.131450196512505499e+02
1.905600000000000023e+02	4.580000000000000071e+00	2.369600000000000080e+02	2.424559999999999889e+02	5.132584104431548440e+02
1.905000000000000000e+02	4.549999999999999822e+00	2.465699999999999932e+02	2.484960000000000093e+02	5.137590196736023245e+02
1.905000000000000000e+02	4.580000000000000071e+00	2.362899999999999920e+02	2.387239999999999895e+02	5.139291058614585381e+02
1.904300000000000068e+02	4.570000000000000284e+00	2.355200000000000102e+02	2.394970000000000141e+02	5.146548884535272919e+02
1.904300000000000068e+02	4.580000000000000071e+00	2.183000000000000114e+02	2.207160000000000082e+02	5.147115838494796662e+02
1.902500000000000000e+02	4.549999999999999822e+00	2.332299999999999898e+02	2.379230000000000018e+02	5.165535839165340803e+02
1.904300000000000068e+02	4.580000000000000071e+00	2.068300000000000125e+02	2.207160000000000082e+02	5.147115838494796662e+02
1.903700000000000045e+02	4.570000000000000284e+00	2.157700000000000102e+02	2.322050000000000125e+02	5.153255838718309860e+02
1.903499999999999943e+02	4.570000000000000284e+00	2.155900000000000034e+02	2.328830000000000098e+02	5.155491490112653992e+02
1.902500000000000000e+02	4.559999999999999609e+00	2.208300000000000125e+02	2.478549999999999898e+02	5.166102793124860000e+02
1.895000000000000000e+02	4.450000000000000178e+00	2.392899999999999920e+02	2.755649999999999977e+02	5.243703226858096968e+02
1.894000000000000057e+02	4.440000000000000391e+00	2.391100000000000136e+02	2.824959999999999809e+02	5.254314529870302977e+02
1.881500000000000057e+02	4.269999999999999574e+00	2.482299999999999898e+02	3.222629999999999768e+02	5.384338617717453417e+02
1.859000000000000057e+02	3.970000000000000195e+00	2.560000000000000000e+02	2.565160000000000196e+02	5.617188156384975173e+02
1.815500000000000114e+02	3.450000000000000178e+00	2.647400000000000091e+02	2.642629999999999768e+02	6.070729048166942903e+02
1.813000000000000114e+02	3.430000000000000160e+00	2.647799999999999727e+02	4.733910000000000196e+02	6.097349022913281260e+02
1.782500000000000000e+02	3.100000000000000089e+00	2.690199999999999818e+02	5.276849999999999454e+02	6.417289380416450513e+02
1.780500000000000114e+02	3.080000000000000071e+00	2.691299999999999955e+02	5.311530000000000200e+02	6.438361019078533900e+02
1.685500000000000114e+02	2.209999999999999964e+00	2.783199999999999932e+02	6.786000000000000227e+02	7.459495894429201144e+02
1.631500000000000057e+02	1.800000000000000044e+00	2.818899999999999864e+02	2.815210000000000150e+02	8.047793376174829518e+02
1.626500000000000057e+02	1.729999999999999982e+00	2.838100000000000023e+02	2.834010000000000105e+02	8.099652716399371002e+02
1.614499999999999886e+02	1.689999999999999947e+00	2.827699999999999818e+02	7.764539999999999509e+02	8.231514825608801402e+02
1.531500000000000057e+02	1.199999999999999956e+00	2.857900000000000205e+02	8.825000000000000000e+02	8.951137660618039718e+02
1.506500000000000057e+02	1.070000000000000062e+00	2.862599999999999909e+02	2.859110000000000014e+02	9.254727530169650436e+02
1.481500000000000057e+02	9.599999999999999645e-01	2.865699999999999932e+02	9.431219999999999573e+02	9.563693734492292151e+02
1.904300000000000068e+02	4.580000000000000071e+00	2.090600000000000023e+02	2.207160000000000082e+02	4.488820169422165236e+02
1.904300000000000068e+02	4.580000000000000071e+00	2.177299999999999898e+02	2.207160000000000082e+02	4.488820169422165236e+02
1.902500000000000000e+02	4.559999999999999609e+00	2.244499999999999886e+02	2.478549999999999898e+02	4.510303187086142316e+02
1.902500000000000000e+02	4.559999999999999609e+00	2.271299999999999955e+02	2.478549999999999898e+02	4.510303187086142316e+02
1.881500000000000057e+02	4.269999999999999574e+00	3.141200000000000045e+02	3.222629999999999768e+02	4.757070978462666062e+02
1.881500000000000057e+02	4.269999999999999574e+00	3.141800000000000068e+02	3.222629999999999768e+02	4.757070978462666062e+02
1.859099999999999966e+02	3.979999999999999982e+00	3.742400000000000091e+02	3.790960000000000036e+02	5.019730244970278363e+02
1.781500000000000057e+02	3.089999999999999858e+00	5.283700000000000045e+02	5.294220000000000255e+02	5.942933822740628784e+02
1.707500000000000000e+02	2.390000000000000124e+00	6.464700000000000273e+02	2.761299999999999955e+02	6.821871502589910961e+02
1.631500000000000057e+02	1.800000000000000044e+00	7.541000000000000227e+02	2.815210000000000150e+02	7.735858140857856142e+02
1.531500000000000057e+02	1.199999999999999956e+00	8.827799999999999727e+02	8.825000000000000000e+02	8.951137660618039718e+02
1.250900000000000034e+02	2.700000000000000178e-01	1.200309999999999945e+03	2.808220000000000027e+02	1.238686013761416689e+03
1.500000000000000000e+02	4.000000000000000000e+00	9.807000000000000455e+02	9.806230000000000473e+02	9.517987505071366741e+02
1.500000000000000000e+02	3.810000000000000053e+00	9.772000000000000455e+02	9.770900000000000318e+02	9.506068679105148931e+02
1.500000000000000000e+02	3.620000000000000107e+00	9.735000000000000000e+02	9.735209999999999582e+02	9.494149853138928847e+02
1.500000000000000000e+02	3.419999999999999929e+00	9.700000000000000000e+02	9.697240000000000464e+02	9.481603720542909741e+02
1.500000000000000000e+02	3.220000000000000195e+00	9.657000000000000455e+02	9.658840000000000146e+02	9.469057587946890635e+02
1.500000000000000000e+02	3.020000000000000018e+00	9.622999999999999545e+02	9.620000000000000000e+02	9.456511455350871529e+02
1.500000000000000000e+02	2.830000000000000071e+00	9.581000000000000227e+02	9.582680000000000291e+02	9.444592629384653719e+02
1.500000000000000000e+02	2.629999999999999893e+00	9.545000000000000000e+02	9.542939999999999827e+02	9.432046496788634613e+02
1.500000000000000000e+02	2.439999999999999947e+00	9.505000000000000000e+02	9.504740000000000464e+02	9.421002342329572912e+02
1.500000000000000000e+02	2.240000000000000213e+00	9.462999999999999545e+02	9.464039999999999964e+02	9.408807401160509016e+02
1.500000000000000000e+02	2.040000000000000036e+00	9.421000000000000227e+02	9.422839999999999918e+02	9.396111385567971865e+02
1.500000000000000000e+02	1.850000000000000089e+00	9.382999999999999545e+02	9.383200000000000500e+02	9.384050170755060662e+02
1.500000000000000000e+02	1.659999999999999920e+00	9.342000000000000455e+02	9.343070000000000164e+02	9.371988955942151733e+02
1.550000000000000000e+02	4.000000000000000000e+00	9.225000000000000000e+02	9.222400000000000091e+02	8.887114635724362870e+02
1.550000000000000000e+02	3.810000000000000053e+00	9.182999999999999545e+02	9.182140000000000555e+02	8.875553067701753207e+02
