# Temperature (K)	Pressure (MPa)	Experimental(uPas)	NIST(uPas)	Model(uPas)
1.800000000000000000e+02	2.962000000000000099e+01	5.806000000000000227e+01	5.842900000000000205e+01	4.920986574332549424e+01
1.800000000000000000e+02	2.608999999999999986e+01	5.535000000000000142e+01	5.589759999999999707e+01	5.628403641572340632e+01
1.800000000000000000e+02	2.255999999999999872e+01	5.290999999999999659e+01	5.321079999999999899e+01	5.434646217170474358e+01
1.800000000000000000e+02	1.894000000000000128e+01	5.000000000000000000e+01	5.025289999999999679e+01	4.912632653083560541e+01
1.800000000000000000e+02	1.800000000000000000e+01	4.904999999999999716e+01	4.944409999999999883e+01	5.024638295710810354e+01
1.800000000000000000e+02	1.552999999999999936e+01	4.734000000000000341e+01	4.722120000000000317e+01	4.938878508861640171e+01
1.800000000000000000e+02	1.435999999999999943e+01	4.607000000000000028e+01	4.611099999999999710e+01	4.798863413719944049e+01
1.800000000000000000e+02	1.097000000000000064e+01	4.277000000000000313e+01	4.262120000000000175e+01	4.545318585397627231e+01
1.800000000000000000e+02	6.679999999999999716e+00	3.764000000000000057e+01	3.726039999999999708e+01	3.772882032079451164e+01
1.800000000000000000e+02	4.730000000000000426e+00	3.446999999999999886e+01	3.408630000000000138e+01	3.535890335774899995e+01
1.800000000000000000e+02	3.529999999999999805e+00	3.178000000000000114e+01	3.153209999999999980e+01	3.521773854764892775e+01
1.700000000000000000e+02	3.135999999999999943e+01	6.587000000000000455e+01	6.653730000000000189e+01	6.097566922177626481e+01
1.700000000000000000e+02	2.801000000000000156e+01	6.350000000000000000e+01	6.414589999999999748e+01	6.607181516985484393e+01
1.700000000000000000e+02	2.462999999999999901e+01	6.125999999999999801e+01	6.161520000000000152e+01	5.943303169697411903e+01
1.700000000000000000e+02	2.144000000000000128e+01	5.820000000000000284e+01	5.909870000000000090e+01	5.656266017944015090e+01
1.700000000000000000e+02	1.778000000000000114e+01	5.565999999999999659e+01	5.602499999999999858e+01	5.396967194349196006e+01
1.700000000000000000e+02	1.476999999999999957e+01	5.331000000000000227e+01	5.331150000000000233e+01	5.338591025336936013e+01
1.700000000000000000e+02	1.465000000000000036e+01	5.325999999999999801e+01	5.319919999999999760e+01	5.324080272909149159e+01
