# Temperature (K)	Pressure (MPa)	Experimental(kJ/mol)	NIST(kJ/mol)	Model(kJ/mol)
1.950000000000000000e+02	5.000000000000000000e+00	7.402999999999999581e+00	7.862980000000000302e+00	7.570746720138584962e+00
2.000000000000000000e+02	5.000000000000000000e+00	8.309900000000000730e+00	8.733670000000000044e+00	8.984490077505476791e+00
2.100000000000000000e+02	5.000000000000000000e+00	9.226599999999999469e+00	9.607739999999999725e+00	9.919414212834515965e+00
2.200000000000000000e+02	5.000000000000000000e+00	9.853099999999999525e+00	1.024160000000000004e+01	1.064968286336259062e+01
2.300000000000000000e+02	5.000000000000000000e+00	1.039600000000000080e+01	1.078550000000000075e+01	1.098404823721527457e+01
2.400000000000000000e+02	5.000000000000000000e+00	1.089620000000000033e+01	1.128129999999999988e+01	1.162022720601257930e+01
2.500000000000000000e+02	5.000000000000000000e+00	1.136679999999999957e+01	1.174760000000000026e+01	1.225428396087400706e+01
2.550000000000000000e+02	5.000000000000000000e+00	1.159639999999999915e+01	1.197300000000000075e+01	1.248074747869483403e+01
3.387099999999999795e+02	6.889999999999999680e+00	8.478999999999999870e-01	1.524130000000000074e+01	1.172207427957144610e+00
3.387099999999999795e+02	1.033999999999999986e+01	1.258099999999999996e+00	1.483259999999999934e+01	1.164567615382769761e+00
3.387099999999999795e+02	1.378999999999999915e+01	1.616300000000000070e+00	1.445470000000000077e+01	1.107781099198652752e+00
2.942599999999999909e+02	6.889999999999999680e+00	1.121099999999999985e+00	1.332390000000000008e+01	8.158603423801411125e+00
2.942599999999999909e+02	1.033999999999999986e+01	1.664500000000000091e+00	1.274160000000000004e+01	7.540765567204227082e+00
3.109300000000000068e+02	6.889999999999999680e+00	9.930999999999999828e-01	1.405109999999999992e+01	1.365624502547452712e+00
3.109300000000000068e+02	1.033999999999999986e+01	1.462900000000000089e+00	1.354729999999999990e+01	1.109681979769120641e+00
3.275899999999999750e+02	6.889999999999999680e+00	8.990000000000000213e-01	1.476660000000000039e+01	1.242448746708219476e+00
3.275899999999999750e+02	1.033999999999999986e+01	1.313299999999999912e+00	1.432380000000000031e+01	1.100705426592728964e+00
3.442599999999999909e+02	6.889999999999999680e+00	8.154000000000000137e-01	1.547799999999999976e+01	1.156774935025855156e+00
3.442599999999999909e+02	1.033999999999999986e+01	1.169599999999999973e+00	1.508460000000000001e+01	1.099064931927020705e+00
3.609300000000000068e+02	6.889999999999999680e+00	7.486000000000000432e-01	1.619010000000000105e+01	1.002720200523280480e+00
3.609300000000000068e+02	1.033999999999999986e+01	1.077800000000000091e+00	1.583750000000000036e+01	8.233434347455315105e-01
3.775899999999999750e+02	6.889999999999999680e+00	6.814999999999999947e-01	1.690569999999999951e+01	9.671910293497503197e-01
3.775899999999999750e+02	1.033999999999999986e+01	9.848999999999999977e-01	1.658770000000000167e+01	7.804790993771459906e-01
1.942599999999999909e+02	4.690000000000000391e+00	8.826200000000000045e+00	8.335089999999999222e+00	7.856434997647890661e+00
1.970399999999999920e+02	4.690000000000000391e+00	9.247899999999999565e+00	8.723019999999999996e+00	8.512813502043938385e+00
1.998199999999999932e+02	4.690000000000000391e+00	9.538999999999999702e+00	9.011509999999999465e+00	8.867805467984165801e+00
2.025900000000000034e+02	4.690000000000000391e+00	9.785299999999999443e+00	9.252459999999999241e+00	9.326554896080898160e+00
2.053700000000000045e+02	4.690000000000000391e+00	1.000929999999999964e+01	9.466469999999999274e+00	9.659921947824241073e+00
2.109300000000000068e+02	4.690000000000000391e+00	1.039739999999999931e+01	9.843410000000000437e+00	1.004350233964863826e+01
2.164799999999999898e+02	4.690000000000000391e+00	1.074070000000000036e+01	1.017740000000000045e+01	1.049925940647678146e+01
2.220399999999999920e+02	4.690000000000000391e+00	1.105049999999999955e+01	1.048499999999999943e+01	1.080857010096381643e+01
2.275900000000000034e+02	4.690000000000000391e+00	1.133779999999999966e+01	1.077350000000000030e+01	1.113815093493901287e+01
2.331500000000000057e+02	4.690000000000000391e+00	1.161030000000000051e+01	1.104889999999999972e+01	1.142637896266814046e+01
2.387100000000000080e+02	4.690000000000000391e+00	1.187149999999999928e+01	1.131390000000000029e+01	1.167367525368200987e+01
2.442599999999999909e+02	4.690000000000000391e+00	1.212899999999999956e+01	1.157039999999999935e+01	1.197341750155563034e+01
2.498199999999999932e+02	4.690000000000000391e+00	1.237909999999999933e+01	1.182089999999999996e+01	1.205684673610292990e+01
2.553700000000000045e+02	4.690000000000000391e+00	1.261790000000000056e+01	1.206579999999999941e+01	1.234530711077451848e+01
2.609300000000000068e+02	4.690000000000000391e+00	1.285679999999999978e+01	1.230690000000000062e+01	1.273416510314086914e+01
2.664800000000000182e+02	4.690000000000000391e+00	1.309190000000000076e+01	1.254420000000000002e+01	1.297830142649503493e+01
2.720400000000000205e+02	4.690000000000000391e+00	1.332699999999999996e+01	1.277909999999999968e+01	1.321890808113675142e+01
2.775899999999999750e+02	4.690000000000000391e+00	1.355840000000000067e+01	1.301140000000000008e+01	1.345537676790406856e+01
2.831499999999999773e+02	4.690000000000000391e+00	1.378979999999999961e+01	1.324230000000000018e+01	1.369081386672215572e+01
1.942599999999999909e+02	4.830000000000000071e+00	8.397000000000000242e+00	8.069330000000000780e+00	8.087857653146269143e+00
